iter	Passed	Remaining
403	6112	9016
404	6123	8996
405	6136	8978
406	6147	8957
407	6159	8937
408	6171	8917
409	6183	8898
410	6194	8877
411	6206	8857
412	6218	8838
413	6230	8819
414	6242	8799
415	6254	8780
416	6266	8761
417	6277	8740
418	6289	8720
419	6301	8702
420	6324	8698
421	6353	8701
422	6395	8723
423	6424	8727
424	6440	8712
425	6458	8702
426	6481	8697
427	6495	8681
428	6507	8661
429	6524	8648
430	6542	8637
431	6554	8618
432	6568	8601
433	6581	8583
434	6592	8562
435	6608	8548
436	6619	8527
437	6633	8512
438	6646	8493
439	6659	8475
440	6670	8455
441	6683	8438
442	6696	8419
443	6708	8400
444	6717	8378
445	6733	8364
446	6750	8351
447	6763	8333
448	6777	8317
449	6799	8310
450	6820	8302
451	6855	8311
452	6890	8320
453	7029	8454
454	7102	8507
455	7221	8614
456	7314	8690
457	7377	8730
458	7453	8784
459	7494	8797
460	7521	8793
461	7607	8858
462	7627	8846
463	7655	8843
464	7678	8834
465	7694	8817
466	7707	8796
467	7719	8775
468	7730	8752
469	7742	8730
470	7756	8711
471	7771	8693
472	7783	8672
473	7794	8649
474	7806	8628
475	7822	8611
476	7837	8593
477	7849	8572
478	7861	8550
479	7873	8529
480	7888	8511
481	7902	8492
482	7915	8472
483	7929	8453
484	7942	8433
485	7962	8421
486	7976	8402
487	7996	8390
488	8016	8377
489	8035	8363
490	8067	8363
491	8120	8384
492	8149	8381
493	8169	8368
494	8195	8361
495	8216	8349
496	8232	8331
497	8247	8313
498	8260	8293
499	8272	8272
500	8283	8250
501	8298	8232
502	8311	8212
503	8326	8194
504	8341	8176
505	8377	8178
506	8414	8182
507	8432	8166
508	8455	8156
509	8487	8154
510	8515	8148
511	8548	8147
512	8568	8134
513	8582	8114
514	8597	8096
515	8621	8087
516	8640	8072
517	8655	8053
518	8673	8038
519	8690	8022
520	8708	8006
521	8724	7988
522	8742	7973
523	8759	7957
524	8776	7940
525	8794	7925
526	8825	7921
527	8854	7915
528	8877	7904
529	8910	7901
530	8937	7893
531	8955	7878
532	8974	7862
533	8992	7847
534	9015	7836
535	9034	7821
536	9054	7806
537	9071	7789
538	9089	7774
539	9105	7756
540	9120	7738
541	9141	7725
542	9160	7709
543	9177	7692
544	9193	7675
545	9209	7657
546	9226	7641
547	9243	7624
548	9258	7605
549	9274	7588
550	9288	7569
551	9306	7553
552	9322	7535
553	9338	7518
554	9359	7504
555	9378	7489
556	9396	7473
557	9410	7454
558	9428	7438
559	9447	7422
560	9460	7402
561	9476	7385
562	9492	7367
563	9506	7349
564	9523	7332
565	9539	7315
566	9553	7295
567	9566	7275
568	9579	7256
569	9590	7234
570	9605	7216
571	9621	7199
572	9636	7181
573	9651	7163
574	9664	7143
575	9678	7124
576	9688	7102
577	9702	7083
578	9717	7065
579	9729	7045
580	9744	7027
581	9761	7010
